AircraftAPI.cpp:0:  No copyright message found.  You should have a line: "Copyright [year] <Copyright Owner>"  [legal/copyright] [5]
AircraftAPI.cpp:8:  Include the directory when naming header files  [build/include_subdir] [4]
AircraftAPI.cpp:9:  Found C++ system header after other header. Should be: AircraftAPI.h, c system, c++ system, other.  [build/include_order] [4]
AircraftAPI.cpp:10:  Found C++ system header after other header. Should be: AircraftAPI.h, c system, c++ system, other.  [build/include_order] [4]
AircraftAPI.cpp:11:  Found C++ system header after other header. Should be: AircraftAPI.h, c system, c++ system, other.  [build/include_order] [4]
AircraftAPI.cpp:22:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
AircraftAPI.cpp:25:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:30:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
AircraftAPI.cpp:32:  Extra space before [  [whitespace/braces] [5]
AircraftAPI.cpp:34:  Missing space after ,  [whitespace/comma] [3]
AircraftAPI.cpp:34:  Using C-style cast.  Use reinterpret_cast<TAircraftData *>(...) instead  [readability/casting] [4]
AircraftAPI.cpp:37:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:38:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:39:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:41:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:42:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:44:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:45:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:46:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:47:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:49:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:50:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:51:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:53:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:55:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:56:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:57:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:58:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:59:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:60:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:60:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
AircraftAPI.cpp:61:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:63:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:63:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
AircraftAPI.cpp:64:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:66:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:67:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:68:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:69:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:70:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:71:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:72:  Tab found; better to use spaces  [whitespace/tab] [1]
AircraftAPI.cpp:73:  Tab found; better to use spaces  [whitespace/tab] [1]
