DecodeRawADS_B.h:0:  No copyright message found.  You should have a line: "Copyright [year] <Copyright Owner>"  [legal/copyright] [5]
DecodeRawADS_B.h:3:  #ifndef header guard has wrong style, please use: DECODERAWADS_B_H_  [build/header_guard] [5]
DecodeRawADS_B.h:100:  #endif line should be "#endif  // DECODERAWADS_B_H_"  [build/header_guard] [5]
DecodeRawADS_B.h:16:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
DecodeRawADS_B.h:36:  Extra space before [  [whitespace/braces] [5]
DecodeRawADS_B.h:41:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
DecodeRawADS_B.h:42:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
DecodeRawADS_B.h:43:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
DecodeRawADS_B.h:43:  Extra space before [  [whitespace/braces] [5]
DecodeRawADS_B.h:44:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
DecodeRawADS_B.h:52:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
DecodeRawADS_B.h:53:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
DecodeRawADS_B.h:56:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
DecodeRawADS_B.h:57:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
DecodeRawADS_B.h:61:  Extra space before [  [whitespace/braces] [5]
DecodeRawADS_B.h:69:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
DecodeRawADS_B.h:73:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
DecodeRawADS_B.h:74:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
DecodeRawADS_B.h:75:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
DecodeRawADS_B.h:86:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
DecodeRawADS_B.h:87:  Missing spaces around =  [whitespace/operators] [4]
DecodeRawADS_B.h:88:  Missing spaces around =  [whitespace/operators] [4]
DecodeRawADS_B.h:89:  Missing spaces around =  [whitespace/operators] [4]
DecodeRawADS_B.h:90:  Missing spaces around =  [whitespace/operators] [4]
DecodeRawADS_B.h:91:  Missing spaces around =  [whitespace/operators] [4]
DecodeRawADS_B.h:92:  Missing spaces around =  [whitespace/operators] [4]
DecodeRawADS_B.h:93:  Missing spaces around =  [whitespace/operators] [4]
DecodeRawADS_B.h:94:  Missing spaces around =  [whitespace/operators] [4]
DecodeRawADS_B.h:95:  Missing spaces around =  [whitespace/operators] [4]
DecodeRawADS_B.h:98:  Missing space after ,  [whitespace/comma] [3]
Done processing DecodeRawADS_B.h
Total errors found: 30
