DisplayGUI.h:0:  No copyright message found.  You should have a line: "Copyright [year] <Copyright Owner>"  [legal/copyright] [5]
DisplayGUI.h:3:  #ifndef header guard has wrong style, please use: DISPLAYGUI_H_  [build/header_guard] [5]
DisplayGUI.h:546:  #endif line should be "#endif  // DISPLAYGUI_H_"  [build/header_guard] [5]
DisplayGUI.h:1:  At least two spaces is best between code and comments  [whitespace/comments] [2]
DisplayGUI.h:22:  Include the directory when naming header files  [build/include_subdir] [4]
DisplayGUI.h:27:  Include the directory when naming header files  [build/include_subdir] [4]
DisplayGUI.h:29:  Found C++ system header after other header. Should be: DisplayGUI.h, c system, c++ system, other.  [build/include_order] [4]
DisplayGUI.h:30:  Found C++ system header after other header. Should be: DisplayGUI.h, c system, c++ system, other.  [build/include_order] [4]
DisplayGUI.h:31:  Found C++ system header after other header. Should be: DisplayGUI.h, c system, c++ system, other.  [build/include_order] [4]
DisplayGUI.h:32:  Found C++ system header after other header. Should be: DisplayGUI.h, c system, c++ system, other.  [build/include_order] [4]
DisplayGUI.h:33:  Found C++ system header after other header. Should be: DisplayGUI.h, c system, c++ system, other.  [build/include_order] [4]
DisplayGUI.h:40:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
DisplayGUI.h:41:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:42:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:43:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:44:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:48:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
DisplayGUI.h:49:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:50:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:51:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:57:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
DisplayGUI.h:58:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:59:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:60:  Tab found; better to use spaces  [whitespace/tab] [1]
