csv.cpp:0:  No copyright message found.  You should have a line: "Copyright [year] <Copyright Owner>"  [legal/copyright] [5]
csv.cpp:11:  Include the directory when naming header files  [build/include_subdir] [4]
csv.cpp:34:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:35:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
csv.cpp:37:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
csv.cpp:43:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
csv.cpp:59:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:62:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:71:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:72:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
csv.cpp:74:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
csv.cpp:81:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
csv.cpp:84:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:90:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:99:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:100:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
csv.cpp:102:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
csv.cpp:107:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:123:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:124:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
csv.cpp:126:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
csv.cpp:136:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:137:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
csv.cpp:144:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:145:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
csv.cpp:152:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
csv.cpp:153:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:161:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
csv.cpp:180:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
csv.cpp:181:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
csv.cpp:181:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:182:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:202:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:203:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
csv.cpp:205:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
csv.cpp:212:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:234:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:235:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
csv.cpp:239:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:244:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
csv.cpp:245:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:251:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
csv.cpp:252:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:254:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
csv.cpp:263:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:275:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:276:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
csv.cpp:278:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
csv.cpp:287:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
csv.cpp:298:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:298:  Using C-style cast.  Use reinterpret_cast<char *>(...) instead  [readability/casting] [4]
csv.cpp:303:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
csv.cpp:304:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:310:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:313:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
csv.cpp:314:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:318:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:328:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:329:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
csv.cpp:334:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
csv.cpp:338:  Extra space before ( in function call  [whitespace/parens] [4]
csv.cpp:340:  Extra space before ( in function call  [whitespace/parens] [4]
Done processing csv.cpp
Total errors found: 62
