json.hpp:18:  #ifndef header guard has wrong style, please use: JSON_HPP_  [build/header_guard] [5]
json.hpp:24596:  #endif line should be "#endif  // JSON_HPP_"  [build/header_guard] [5]
json.hpp:21:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:22:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:23:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:24:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:26:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:28:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:29:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:30:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:31:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:32:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:33:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:46:  "utility" already included at json.hpp:32  [build/include] [4]
json.hpp:62:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:63:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:141:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
json.hpp:161:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:161:  "algorithm" already included at json.hpp:21  [build/include] [4]
json.hpp:162:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:163:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:164:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:164:  "iterator" already included at json.hpp:28  [build/include] [4]
json.hpp:165:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:166:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:166:  "string" already included at json.hpp:31  [build/include] [4]
json.hpp:167:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:168:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:169:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:170:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:170:  "utility" already included at json.hpp:32  [build/include] [4]
json.hpp:171:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:184:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:184:  "cstddef" already included at json.hpp:22  [build/include] [4]
json.hpp:185:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:186:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:187:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:187:  "string" already included at json.hpp:31  [build/include] [4]
json.hpp:188:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:188:  "vector" already included at json.hpp:33  [build/include] [4]
json.hpp:201:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:201:  "array" already included at json.hpp:162  [build/include] [4]
json.hpp:202:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:202:  "cstddef" already included at json.hpp:22  [build/include] [4]
json.hpp:203:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:204:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:204:  "string" already included at json.hpp:31  [build/include] [4]
json.hpp:217:  At least two spaces is best between code and comments  [whitespace/comments] [2]
json.hpp:217:  "utility" already included at json.hpp:32  [build/include] [4]
json.hpp:229:  "type_traits" already included at json.hpp:168  [build/include] [4]
json.hpp:247:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
json.hpp:250:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
json.hpp:261:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
json.hpp:265:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
json.hpp:275:  Do not indent within a namespace.  [whitespace/indent_namespace] [4]
json.hpp:276:  Do not indent within a namespace.  [whitespace/indent_namespace] [4]
json.hpp:277:  Do not indent within a namespace.  [whitespace/indent_namespace] [4]
json.hpp:279:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
json.hpp:286:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
